DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
AUS,BOG,7150,2431,10663970
AUS,BOG,33600,5880,23877680
AUS,BOG,16850,3370,14783044
AUS,BOG,60770,11638,47178875
AUS,BOG,2988,3002,13170508
AUS,BOG,40,84,368479
AUS,BOG,500,20,84639
AUS,BOG,140,465,1967020
AUS,BOG,367,10111,42772880
AUS,BOG,5,166,700772
AUS,BOG,189,1393,5911295
AUS,BOG,4,15,60644
AUS,BOG,1,1,5318
AUS,BOG,149,1941,8222110
AUS,BOG,208,6935,29349317
AUS,BOG,2791,63011,266799589
AUS,BOG,254,3850,16768331
AUS,BOG,704,18135,75409223
AUS,BOG,3750,65651,276585353
AUS,BOG,150,1714,7201422
AUS,BOG,200,782,3430807
AUS,BOG,293,23040,101068646
AUS,BOG,4,415,1820332
AUS,BOG,1650,314,1270854
AUS,BOG,1000,180,753662
AUS,BOG,20800,7688,32689005
AUS,BOG,16,29805,130010272
AUS,BOG,5,750,3045623
AUS,BOG,4450,801,3386139
AUS,BOG,50,173810,762446822
AUS,BOG,0,20,82412
AUS,BOG,35675,8597,36289179
AUS,BOG,640,896,3782365
AUS,BOG,630,1114,4700940
AUS,BOG,1725,2987,12610347
AUS,BOG,20700,2958,12486872
AUS,BOG,2400,504,2127581
AUS,BOG,1340,1131,4772704
AUS,BOG,48,532,2245779
AUS,BOG,24,80,341620
AUS,BOG,216308,52742,222879777
AUS,BOG,28500,5891,24866098
AUS,BOG,45000,8855,36791994
AUS,BOG,1620,821,3490115
AUS,BOG,5670,1796,7635903
AUS,BOG,92,1325,5581563
AUS,BOG,20775,4729,20014696
AUS,BOG,107,697,3038502
AUS,BOG,7750,1473,6261203
AUS,BOG,450,293,1228948
AUS,BOG,100,363987,1525817517
AUS,BOG,744,18678,79361420
AUT,BOG,12480,2122,9014678
AUT,BOG,34560,5875,24963725
AUT,BOG,19152,3701,15736815
AUT,BOG,72240,10598,45031752
AUT,BOG,520,99,421501
AUT,BOG,22890,4132,17558568
AUT,BOG,28960,4614,19604114
AUT,BOG,97860,15101,64154491
AUT,BOG,240,48,203952
AUT,BOG,16270,2975,12639925
AUT,BOG,175,3463,14715349
AZE,BOG,9140,5971,25304195
AZE,BOG,64,154,673791
AZE,BOG,10450,1816,7667967
AZE,BOG,4,4550,19331760
BHS,BOG,1,1000,4187010
BHS,BOG,8,1236,5250942
BHS,BOG,124,9270,39394259
BHS,BOG,927,10979,46656249
BHS,BOG,8,265,1128043
BHS,BOG,5,458,1944242
BHS,BOG,1911,35462,150704788
BHS,BOG,96,3252,13822097
BHS,BOG,14,12901,54684726
BHR,BOG,300,96,405829
BHR,BOG,500,337,1401461
BHR,BOG,220,83,351719
BHR,BOG,3,52,219824
BHR,BOG,3612,2210,9311310
BHR,BOG,3455,2051,8625855
BHR,BOG,240,67,284388
BHR,BOG,1010,215,941377
BHR,BOG,5,17,73340
BHR,BOG,12,35,146974
BHR,BOG,6,12,52404
BHR,BOG,12,64,270400
BHR,BOG,174,458,1927219
BHR,BOG,15,77,322256
BHR,BOG,9,43,182738
BHR,BOG,18000,4410,18751717
BHR,BOG,18700,2949,11954538
BHR,BOG,11850,1422,5764447
BHR,BOG,54,54,227552
BHR,BOG,3400,1023,4302306
BHR,BOG,10625,2656,11213067
BHR,BOG,101225,16090,66993837
BHR,BOG,750,90,376831
BHR,BOG,2600,520,2177245
BHR,BOG,2920,808,3381429
BHR,BOG,192,2429,10170289
BRB,BOG,26600,4567,19189774
BRB,BOG,27000,998,4191194
BRB,BOG,30000,871,3658524
BRB,BOG,21000,1794,7537545
BRB,BOG,280,5325,22480801
BRB,BOG,105,3960,16319427
